Country,Region,Happiness Rank 2015,Happiness Score 2015,Standard Error,Economy (GDP per Capita) 2015,Family 2015,Health (Life Expectancy) 2015,Freedom 2015,Trust (Government Corruption) 2015,Generosity 2015,Dystopia Residual 2015,Year 2015,Happiness Rank 2016,Happiness Score 2016,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita) 2016,Family 2016,Health (Life Expectancy) 2016,Freedom 2016,Trust (Government Corruption) 2016,Generosity 2016,Dystopia Residual 2016,Year 2016,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Year
Morocco,Middle East and Northern Africa,92.0,5.013,0.0342,0.7347899999999999,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,2015.0,90.0,5.151,5.058,5.244,0.8405799999999999,0.38595,0.5947100000000001,0.2564599999999999,0.08404,0.04053,2.94891,2016.0,84.0,5.2350001335144,5.31834096476436,5.15165930226445,0.8781145811080929,0.774864435195923,0.59771066904068,0.408158332109451,0.03220995515585,0.0877631828188899,2.45618939399719,2017.0
Macedonia,Central and Eastern Europe,93.0,5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.7393299999999998,2015.0,95.0,5.121,5.017,5.225,1.0193,0.78236,0.6473800000000001,0.27668,0.07047,0.2350699999999999,2.08947,2016.0,92.0,5.175000190734861,5.27217263966799,5.07782774180174,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.060277793556452,1.6174693107605,2017.0
Mozambique,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Central and Eastern Europe,95.0,4.959,0.05013,0.8786700000000001,0.8043399999999999,0.81325,0.35733,0.0641299999999999,0.14272,1.89894,2015.0,109.0,4.655,4.546,4.763999999999999,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016.0,109.0,4.64400005340576,4.75246400639415,4.53553610041738,0.996192753314972,0.8036852478981021,0.731159746646881,0.381498634815216,0.201312944293022,0.039864215999842,1.49044156074524,2017.0
Bosnia and Herzegovina,Central and Eastern Europe,96.0,4.949,0.06913,0.8322299999999999,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,2015.0,87.0,5.162999999999999,5.063,5.263,0.93383,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2.48406,2016.0,90.0,5.18200016021729,5.27633568674326,5.087664633691309,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,1.89217257499695,2017.0
Lesotho,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,98.0,4.885,0.07446,0.8953700000000001,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,2015.0,89.0,5.155,5.037,5.273,1.02787,0.99496,0.5766899999999999,0.52259,0.12372,0.21286,1.69626,2016.0,86.0,5.230000019073491,5.34906088516116,5.110939152985809,1.07937383651733,1.4024167060852095,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,1.3194651603698702,2017.0
Laos,Southeastern Asia,99.0,4.876,0.06698,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.4219199999999999,1.73799,2015.0,102.0,4.876,4.742,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.4307899999999999,2.08637,2016.0,,,,,,,,,,,,2017.0
Mongolia,Eastern Asia,100.0,4.874,0.03313,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,2015.0,101.0,4.907,4.838,4.976,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,2016.0,100.0,4.95499992370605,5.021679509133099,4.88832033827901,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.032902289181948,1.11129236221313,2017.0
Swaziland,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
